zcta,aland_sqm
05257,32896316
05260,25161600
05261,83243535
05262,197213092
05301,388819561
05340,113763061
05341,33975044
05342,39397112
05343,116992957
05345,129481953
05346,176293774
05350,94088294
05352,102293493
05353,95102816
05354,50320825
05355,70936734
05356,57845390
05358,32445519
05359,76659776
05360,124781483
05361,78688100
05362,6789106
05363,166894185
05401,15348299
05403,42406833
05404,3656312
05405,588806
05408,10930422
05439,472141
05440,75363081
05441,81508006
05442,83274853
05443,293973958
05444,52240943
05445,106894948
05446,94739678
05447,821117
05448,105616230
05450,307737090
05452,107785374
05454,122539803
05455,86114960
05456,62051312
05457,99432839
05458,42422103
05459,66711463
05461,106173169
05462,98656673
05463,20421053
05464,167541285
05465,113054708
05468,165678186
05471,134442782
05472,102128153
05473,48953699
05474,34846768
05476,164891228
05477,120682306
05478,156760067
05481,972298
05482,63415233
05483,52846456
05485,264513
05486,38678683
05487,116064513
05488,167988565
05489,137223489
05491,223622896
05492,42353439
05494,88348762
05495,87752414
05602,209956256
05640,9628252
05641,139937116
05647,76436151
05648,23100319
05649,40475699
05650,60807661
05651,44305775
05652,80758662
05653,82457116
05654,7522375
05655,88171239
05656,122667961
05657,363566
05658,97074856
05660,102977837
05661,170348525
05663,144839463
05664,43125
05667,117706550
05669,109885843
05672,187989016
05673,139320470
05674,103656304
05675,103468318
05676,261745541
05677,39859972
05678,1831716
05679,102818670
05680,172396038
05681,65980299
05682,119592466
05701,150897631
05730,34722816
05732,25462517
05733,295549488
05734,114174600
05735,110985274
05736,15506030
05737,166291037
05738,129542549
05739,141906578
05740,72134
05742,66259670
05743,256011706
05744,57685660
05747,129782016
05748,99648885
05751,120437726
05753,220607327
05757,63335634
05758,79456050
05759,47230950
05760,101536173
05761,98530081
05762,52162780
05763,74470562
05764,112189019
05765,20403060
05766,117241664
05767,147715897
05769,79533988
05770,106534548
05772,117578414
05773,182888244
05774,57595598
05775,32760590
05776,115451401
05777,124016306
05778,64411405
05819,235786880
05820,62266952
05821,90059635
05822,99965761
05824,134017479
05825,6593639
05826,81074252
05827,38133278
05828,138774336
05829,66142265
05830,80786315
05832,75852182
05833,36948933
05836,73785300
05837,119006891
05839,62664474
05841,74396084
05842,47699429
05843,93383831
05845,108567121
05846,144877987
05847,145057809
05850,1049966
05851,206545978
05853,77871653
05855,144362001
05857,106490714
05858,202699337
05859,144254097
05860,196414606
05862,71234964
05866,84308302
05867,93371560
05868,36582769
05871,122269186
05872,62331103
05873,76566965
05874,94707184
05875,43274418
05901,92414396
05902,2772701
05903,172547484
05904,1479509
05905,488035819
05906,124663673
05907,285014738
06001,60375309
06002,67502010
06010,68369163
06013,76947167
06016,38846824
06018,30797205
06019,59454850
06020,24912
06021,14631563
06022,4196746
06023,2373327
06024,20576050
06026,43614047
06027,40780169
06029,87556812
06031,99548241
06032,58785613
06033,88932914
06035,39782847
06037,65735761
06039,54332976
06040,43949365
06042,27028572
06043,37326694
06051,10587107
06052,6607069
06053,20740438
06057,94463613
06058,131437338
06059,7586414
06060,31260792
06061,330786
06062,22623986
06063,76659590
06065,24949085
06066,45862858
06067,34867960
06068,80518510
06069,129705449
06070,56764402
06071,74970410
06073,43792046
06074,72663410
06076,221863582
06078,66161171
06081,1778769
06082,86289914
06084,103265818
06085,12388586
06088,29142179
06089,6948077
06090,35084674
06091,28616431
06092,22260945
06093,43361616
06095,76661791
06096,24860985
06098,146488120
06103,1217897
06105,6086182
06106,10946226
06107,16896899
06108,21022996
06109,31862532
06110,8638998
06111,34034098
06112,7058328
06114,10467790
06117,25733520
06118,25648709
06119,5285091
06120,9214513
06160,138776
06226,18809965
06231,41087769
06232,40000347
06234,79391506
06235,49939802
06237,55858845
06238,96804225
06239,58977921
06241,71068362
06242,67477727
06243,903761
06247,88112011
06248,54482897
06249,140113258
06250,43857063
06254,50476280
06255,58921121
06256,19364860
06259,107685503
06260,51760008
06262,2461954
06263,597733
06264,3749379
06266,2455638
06268,68062003
06269,3313278
06277,59563768
06278,102549640
06279,86230291
06280,37783769
06281,143687661
06282,14845957
06320,14336552
06330,47409627
06331,103468830
06332,1190715
06333,60775502
06334,50196963
06335,28045085
06336,1589391
06339,69677223
06340,59301443
06350,604020
06351,134731561
06353,579888
06354,53394168
06355,36411958
06357,27329373
06359,140572864
06360,69802267
06365,79848169
06370,61077869
06371,141699123
06373,8767545
06374,67105964
06375,20528494
06376,259435
06377,43153650
06378,55010920
06379,31101045
06380,2472518
06382,46788817
06384,98428700
06385,64608307
06387,277797
06389,327155
06390,10504177
06401,15556712
06403,25048483
06405,55043151
06409,3503032
06410,83861189
06412,41573119
06413,41948226
06414,751065
06415,140825359
06416,30070597
06417,35001764
06418,13126020
06419,91506573
06420,75692245
06422,61276967
06423,99625575
06424,104297297
06426,14807345
06437,121933333
06438,31816540
06441,67020490
06442,8631798
06443,93622111
06444,1700637
06447,60479197
06450,36048001
06451,25309873
06455,28103876
06456,2246281
06457,106235852
06460,32515781
06461,24928263
06467,173168
06468,67514080
06469,26051307
06470,96146972
06471,23316879
06472,42331838
06473,56066579
06475,39003140
06477,44498764
06478,84809656
06479,19059972
06480,60476326
06481,4655716
06482,52786846
06483,37600679
06484,79334981
06488,101023391
06489,71945571
06492,102780469
06498,40871157
06510,625774
06511,15362920
06512,27227691
06513,18749152
06514,29025124
06515,11805824
06516,27842630
06517,13210869
06518,42343971
06519,4330244
06524,54669018
06525,48722327
06604,8116656
06605,6072276
06606,13709614
06607,3028154
06608,2672399
06610,7920184
06611,61970208
06612,69496009
06614,28477893
06615,16769212
06702,1655876
06704,20514016
06705,14382616
06706,9878737
06708,24721341
06710,2554876
06712,36868714
06716,52908259
06750,19273430
06751,49150826
06752,43249888
06754,83815353
06755,11675443
06756,93379519
06757,89150159
06758,6814408
06759,130087225
06762,45093454
06763,38084824
06770,43291137
06776,144002296
06777,41187872
06778,18374270
06779,8273214
06782,19466369
06783,66929754
06784,60047485
06785,34878324
06786,37184255
06787,31687511
06790,107724552
06791,79894635
06793,36639944
06794,35185337
06795,67877396
06796,96213919
06798,94172529
06801,43909713
06804,51208466
06807,8146193
06810,53647755
06811,54927373
06812,52948104
06820,32774485
06824,52146563
06825,17424219
06830,35206314
06831,71301354
06840,57484080
06850,17384644
06851,19771384
06853,3101385
06854,12634374
06855,6152019
06856,9568
06870,5945325
06877,89634473
06878,6211454
06880,52115624
06883,51211664
06890,7495647
06896,81506029
06897,69435115
06901,1204736
06902,26347061
06903,45283573
06905,12875531
06906,3131658
06907,5373196
07001,9754008
07002,15147276
07003,13763151
07004,26241377
07005,48710637
07006,24286951
07008,11458069
07009,10971999
07010,2472334
07011,8575616
07012,5438477
07013,11283365
07014,3605207
07016,12492029
07017,5832059
07018,4390921
07020,2505964
07021,3615959
07022,2184142
07023,3469655
07024,6555837
07026,5667170
07027,1686254
07028,3328871
07029,3390134
07030,3223691
07031,6437476
